X,Y,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
2027371.848948437720537,2964479.788845291361213,01011000,"Allagash River near Allagash, Maine",Non-ref,NorthEast,3186.844000,01,47.069611,-69.079544,ME,,yes,78.000000,60.000000,20.000000
2058479.303428338142112,2992966.015573028475046,01013500,"Fish River near Fort Kent, Maine",Ref,NorthEast,2252.696000,01,47.237394,-68.582642,ME,yes,yes,85.000000,60.000000,20.000000
2096533.99067596392706,2921785.543062086217105,01015800,"Aroostook River near Masardis, Maine",Non-ref,NorthEast,2313.755000,01,46.523003,-68.371764,ME,,yes,51.000000,51.000000,19.000000
2088548.848620502511039,2931578.093677544035017,01016500,"MACHIAS RIVER NEAR ASHLAND, ME",Non-ref,NorthEast,847.772100,01,46.628311,-68.434792,ME,,,32.000000,32.000000,0.000000
2104213.71087012020871,2953507.476746966131032,01017000,"Aroostook River at Washburn, Maine",Non-ref,NorthEast,4278.907000,01,46.777294,-68.157194,ME,,yes,79.000000,60.000000,20.000000
2116340.419394308235496,2957908.133670846931636,01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",Non-ref,NorthEast,14.864400,01,46.783611,-67.989167,ME,,yes,0.000000,0.000000,0.000000
2116197.716385257896036,2970014.79205934330821,01017290,"Little Madawaska River at Caribou, Maine",Non-ref,NorthEast,594.576000,01,46.888610,-67.945000,ME,,yes,1.000000,1.000000,1.000000
2124000.607541569508612,2942228.035150286741555,01017550,"Williams Brook at Phair, Maine",Ref,NorthEast,10.032300,01,46.628056,-67.953056,ME,,yes,9.000000,9.000000,9.000000
2146179.073358337394893,2888357.52793172840029,01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",Non-ref,NorthEast,226.253700,01,46.105000,-67.881389,ME,,yes,6.000000,6.000000,6.000000
2147275.127955072093755,2888682.064540667459369,01018000,"Meduxnekeag River near Houlton, Maine",Non-ref,NorthEast,450.473400,01,46.104917,-67.866631,ME,,yes,47.000000,39.000000,6.000000
2148891.383406871464103,2890377.516133626922965,01018009,"Pearce Brook at Route 1 at Houlton, Maine",Non-ref,NorthEast,19.519200,01,46.115280,-67.840280,ME,,yes,1.000000,1.000000,1.000000
2184843.67079690285027,2791844.673703640699387,01019000,"Grand Lake Stream at Grand Lake Stream, Maine",Non-ref,NorthEast,620.623800,01,45.172522,-67.768800,ME,,yes,80.000000,60.000000,20.000000
2232937.405468248296529,2775146.415797241963446,01021200,"DENNYS RIVER AT DENNYSVILLE, ME",Non-ref,NorthEast,242.840700,01,44.901489,-67.247619,ME,,yes,51.000000,51.000000,17.000000
2200258.453048012685031,2753307.630145614035428,01021470,"Libby Brook near Northfield, Maine",Ref,NorthEast,16.100100,01,44.800833,-67.725000,ME,,yes,9.000000,9.000000,9.000000
2194979.617838962003589,2767536.063369357027113,01021480,"Old Stream near Wesley, Maine",Ref,NorthEast,76.738490,01,44.936944,-67.736111,ME,,yes,11.000000,11.000000,11.000000
2218254.578515263274312,2749779.235258906148374,01021500,"Machias River at Whitneyville, Maine",Non-ref,NorthEast,1184.140000,01,44.722994,-67.520478,ME,,yes,70.000000,35.000000,7.000000
2198916.422757825814188,2740896.145863126963377,01022260,"Pleasant River near Epping, Maine",Ref,NorthEast,161.993700,01,44.697778,-67.787222,ME,,yes,18.000000,18.000000,9.000000
2180416.292885575909168,2740272.414160653948784,01022330,"Narraguagus River at Deblois, Maine",Ref,NorthEast,264.812400,01,44.740833,-68.013333,ME,,yes,5.000000,5.000000,5.000000
2190628.769556388258934,2727911.57084868196398,01022500,"Narraguagus River at Cherryfield, Maine",Ref,NorthEast,573.600600,01,44.607972,-67.935242,ME,yes,yes,61.000000,60.000000,20.000000
2150096.390471944585443,2742696.732683384791017,01023000,"WEST BRANCH UNION RIVER AT AMHERST, ME",Ref,NorthEast,385.097400,01,44.840239,-68.372017,ME,,,60.000000,30.000000,0.000000
1994267.638944779522717,2824263.143017923459411,01027200,"North Branch Penobscot River nr Pittston Farm, ME",Ref,NorthEast,582.048900,01,45.935278,-69.993611,ME,,yes,8.000000,8.000000,8.000000
2089184.503322380362079,2875639.094962141476572,01029200,"Seboeis River near Shin Pond, Maine",Ref,NorthEast,444.949200,01,46.143056,-68.633611,ME,,yes,11.000000,11.000000,11.000000
2105493.949217240791768,2832678.164023962803185,01029500,"East Branch Penobscot River at Grindstone, Maine",Non-ref,NorthEast,2816.295000,01,45.730267,-68.589486,ME,,yes,89.000000,44.000000,11.000000
2124580.240976764820516,2819358.406146422028542,01030000,"PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME",Non-ref,NorthEast,8732.993000,01,45.566333,-68.403664,ME,,,51.000000,42.000000,2.000000
2133975.652875766158104,2814589.388272323645651,01030500,"Mattawamkeag River near Mattawamkeag, Maine",Ref,NorthEast,3676.172000,01,45.500975,-68.305956,ME,yes,yes,75.000000,60.000000,20.000000
2045248.267409822437912,2761547.643896638415754,01031300,"Piscataquis River at Blanchard, Maine",Ref,NorthEast,304.376400,01,45.267222,-69.583889,ME,,yes,13.000000,13.000000,13.000000
2057715.116310104029253,2755538.684004602022469,01031450,"Kingsbury Stream at Abbot Village, Maine",Non-ref,NorthEast,239.092200,01,45.184444,-69.452222,ME,,yes,12.000000,12.000000,12.000000
2068384.602541765896603,2757515.535109285265207,01031500,"Piscataquis River near Dover-Foxcroft, Maine",Ref,NorthEast,769.048200,01,45.175008,-69.314697,ME,yes,yes,107.000000,60.000000,20.000000
2075057.728385169524699,2756579.829945323988795,01031510,"Black Stream near Dover-Foxcroft, Maine",Ref,NorthEast,70.104600,01,45.150278,-69.236389,ME,,yes,1.000000,1.000000,1.000000
2080738.606337691424415,2772121.454963186755776,01033000,"SEBEC RIVER AT SEBEC, ME",Non-ref,NorthEast,844.353000,01,45.270256,-69.111733,ME,,,66.000000,42.000000,4.000000
2088508.706145408563316,2775812.554502788931131,01033500,"PLEASANT RIVER NEAR MILO, ME",Ref,NorthEast,833.964300,01,45.282578,-69.003439,ME,,,59.000000,30.000000,0.000000
2099342.816327937413007,2776438.815939235500991,01034000,"Piscataquis River at Medford, Maine",Non-ref,NorthEast,3011.229000,01,45.260611,-68.868614,ME,,yes,78.000000,53.000000,20.000000
2116458.088322401512414,2778650.43275632429868,01034500,"Penobscot River at West Enfield, Maine",Non-ref,NorthEast,17347.380000,01,45.236175,-68.651383,ME,,yes,107.000000,60.000000,20.000000
2131428.156919025816023,2777035.708533007651567,01035000,"PASSADUMKEAG RIVER AT LOWELL, ME",Non-ref,NorthEast,779.408100,01,45.183936,-68.474425,ME,,,64.000000,30.000000,0.000000
2109591.13331012846902,2737302.807155021466315,01036500,"KENDUSKEAG STREAM NEAR KENDUSKEAG, ME",Non-ref,NorthEast,391.499100,01,44.897144,-68.883683,ME,,,38.000000,30.000000,0.000000
2113874.45648897299543,2672648.935167821124196,01037380,"Ducktrap River near Lincolnville, Maine",Ref,NorthEast,39.023100,01,44.329167,-69.060833,ME,,yes,11.000000,11.000000,11.000000
2076402.328701738268137,2649506.128523612394929,01038000,"Sheepscot River at North Whitefield, Maine",Non-ref,NorthEast,375.084900,01,44.222778,-69.593758,ME,,yes,71.000000,60.000000,20.000000
2025568.695833100704476,2792657.202436670660973,01041000,"KENNEBEC RIVER AT MOOSEHEAD, ME",Non-ref,NorthEast,3293.256000,01,45.584850,-69.716964,ME,,,63.000000,33.000000,0.000000
2014529.797526801005006,2761225.260561279952526,01042500,"Kennebec River at The Forks, Maine",Non-ref,NorthEast,4124.360000,01,45.339708,-69.962058,ME,,yes,106.000000,60.000000,20.000000
1999847.396478821756318,2744503.432205365039408,01043500,"DEAD RIVER NEAR DEAD RIVER, ME",Non-ref,NorthEast,1343.690000,01,45.230458,-70.199836,ME,,,43.000000,33.000000,0.000000
1994209.033372287638485,2752533.273298177868128,01044550,"Spencer Stream near Grand Falls, Maine",Ref,NorthEast,499.762800,01,45.313611,-70.241667,ME,,yes,10.000000,10.000000,10.000000
2012127.108227420365438,2761629.85059657972306,01045000,"DEAD RIVER AT THE FORKS, ME",Non-ref,NorthEast,2254.018000,01,45.349056,-69.990189,ME,,,74.000000,30.000000,0.000000
2028947.005439274013042,2733563.631062729284167,01046000,"AUSTIN STREAM AT BINGHAM, ME",Ref,NorthEast,243.158400,01,45.065186,-69.880767,ME,,yes,39.000000,21.000000,1.000000
2028984.792254600906745,2732055.742430559359491,01046500,"Kennebec River at Bingham, Maine",Non-ref,NorthEast,7056.902000,01,45.052050,-69.885506,ME,,yes,81.000000,60.000000,20.000000
2029220.971540689002723,2710982.126799915917218,01047000,"Carrabassett River near North Anson, Maine",Ref,NorthEast,909.097200,01,44.869200,-69.955103,ME,yes,yes,88.000000,60.000000,20.000000
2037125.151214242447168,2702762.802161262370646,01047150,"Kennebec River near Madison, Maine",Non-ref,NorthEast,8433.685000,01,44.778889,-69.886944,ME,,yes,0.000000,0.000000,0.000000
